Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.4468,13169305467.9868,0.5927,0.387,0.557,0.417,0.377
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9946,0.4444,13088388111.2216,0.5895,0.3849,0.554,0.4148,0.375
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9892,0.442,13007470754.4563,0.5863,0.3828,0.551,0.4125,0.3729
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.9838,0.4396,12926553397.691,0.5831,0.3807,0.548,0.4103,0.3709
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.8533,0.3813,10967864892.1261,0.5057,0.3302,0.4753,0.3558,0.3217
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.8479,0.3789,10886947535.3609,0.5025,0.3281,0.4723,0.3536,0.3196
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.8425,0.3765,10806030178.5956,0.4993,0.326,0.4693,0.3513,0.3176
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.8371,0.374,10725112821.8304,0.4962,0.324,0.4663,0.3491,0.3156
F25_WF0_ROE0,25,False,0.0,9.4747,38.2043,0.8741,0.3906,13169305467.9868,0.5181,0.3383,0.4869,0.3645,0.3296
F25_WF0_ROE0.5,25,False,0.5,9.3211,37.5851,0.8708,0.3891,13088388111.2216,0.5161,0.337,0.485,0.3631,0.3283
F25_WF0_ROE1.0,25,False,1.0,9.1687,36.9707,0.8674,0.3876,13007470754.4563,0.5141,0.3357,0.4832,0.3617,0.327
F25_WF0_ROE1.5,25,False,1.5,9.0175,36.361,0.864,0.3861,12926553397.691,0.5121,0.3344,0.4813,0.3603,0.3257
F25_WF1_ROE0,25,True,0.0,5.8208,23.4711,0.7759,0.3467,10967864892.1261,0.4599,0.3003,0.4322,0.3236,0.2925
F25_WF1_ROE0.5,25,True,0.5,5.6986,22.9781,0.7722,0.345,10886947535.3609,0.4577,0.2988,0.4301,0.322,0.2911
F25_WF1_ROE1.0,25,True,1.0,5.5775,22.49,0.7684,0.3433,10806030178.5956,0.4554,0.2974,0.428,0.3204,0.2897
F25_WF1_ROE1.5,25,True,1.5,5.4576,22.0065,0.7646,0.3416,10725112821.8304,0.4532,0.2959,0.4259,0.3188,0.2882
F50_WF0_ROE0,50,False,0.0,18.9493,76.4086,0.7483,0.3344,13169305467.9868,0.4435,0.2896,0.4168,0.312,0.2821
F50_WF0_ROE0.5,50,False,0.5,18.6422,75.1702,0.747,0.3338,13088388111.2216,0.4427,0.2891,0.4161,0.3115,0.2816
